nomination_id,movie_id,category,ceremony_year,film_year,won
1546,468,Best Picture,1996,1995,TRUE
1547,204,Best Picture,1997,1996,TRUE
1548,319,Best Picture,1998,1997,TRUE
1549,461,Best Picture,1999,1998,TRUE
1550,49,Best Picture,2000,1999,TRUE
1551,46,Best Picture,2001,2000,TRUE
1552,622,Best Picture,2002,2001,TRUE
1553,134,Best Picture,2003,2002,TRUE
1554,623,Best Picture,2004,2003,TRUE
1555,481,Best Picture,2005,2004,TRUE
1556,113,Best Picture,2006,2005,TRUE
1557,803,Best Picture,2007,2006,TRUE
1558,400,Best Picture,2008,2007,TRUE
1559,487,Best Picture,2009,2008,TRUE
1560,598,Best Picture,2010,2009,TRUE
1561,672,Best Picture,2011,2010,TRUE
1562,519,Best Picture,2012,2011,TRUE
1563,759,Best Picture,2013,2012,TRUE
1564,2,Best Picture,2014,2013,TRUE
1565,105,Best Picture,2015,2014,TRUE
1566,656,Best Picture,2016,2015,TRUE
1567,320,Best Picture,2017,2016,TRUE
1568,781,Best Picture,2018,2017,TRUE
1569,451,Best Picture,2019,2018,TRUE
1570,4,Best Picture,2020,2019,TRUE
1571,401,Best Picture,2021,2020,TRUE
1572,643,Best Picture,2022,2021,TRUE
1573,200,Best Picture,2023,2022,TRUE
1574,415,Best Picture,2024,2023,TRUE
1575,65,Best Picture,2025,2024,TRUE
1576,409,Best Picture,2026,2025,TRUE
2278,883,Best Actor,1996,1995,TRUE
2279,479,Best Actor,1997,1996,TRUE
2280,74,Best Actor,1998,1997,TRUE
2281,237,Best Actor,1999,1998,TRUE
2282,602,Best Actor,2000,1999,TRUE
2283,235,Best Actor,2001,2000,TRUE
2284,7,Best Actor,2002,2001,TRUE
2285,227,Best Actor,2003,2002,TRUE
2286,390,Best Actor,2004,2003,TRUE
2287,446,Best Actor,2005,2004,TRUE
2288,124,Best Actor,2006,2005,TRUE
2289,612,Best Actor,2007,2006,TRUE
2290,703,Best Actor,2008,2007,TRUE
2291,364,Best Actor,2009,2008,TRUE
2292,153,Best Actor,2010,2009,TRUE
2293,609,Best Actor,2011,2010,TRUE
2294,519,Best Actor,2012,2011,TRUE
2295,334,Best Actor,2013,2012,TRUE
2296,158,Best Actor,2014,2013,TRUE
2297,683,Best Actor,2015,2014,TRUE
2298,656,Best Actor,2016,2015,TRUE
2299,349,Best Actor,2017,2016,TRUE
2300,163,Best Actor,2018,2017,TRUE
2301,100,Best Actor,2019,2018,TRUE
2302,302,Best Actor,2020,2019,TRUE
2303,565,Best Actor,2021,2020,TRUE
2304,643,Best Actor,2022,2021,TRUE
2305,696,Best Actor,2023,2022,TRUE
2306,593,Best Actor,2024,2023,TRUE
2307,536,Best Actor,2025,2024,TRUE
2308,354,Best Actor,2026,2025,TRUE
2309,884,Best Actress,1996,1995,TRUE
2310,204,Best Actress,1997,1996,TRUE
2311,74,Best Actress,1998,1997,TRUE
2312,474,Best Actress,1999,1998,TRUE
2313,49,Best Actress,2000,1999,TRUE
2314,198,Best Actress,2001,2000,TRUE
2315,885,Best Actress,2002,2001,TRUE
2316,595,Best Actress,2003,2002,TRUE
2317,374,Best Actress,2004,2003,TRUE
2318,365,Best Actress,2005,2004,TRUE
2319,736,Best Actress,2006,2005,TRUE
2320,648,Best Actress,2007,2006,TRUE
2321,76,Best Actress,2008,2007,TRUE
2322,835,Best Actress,2009,2008,TRUE
2323,886,Best Actress,2009,2008,TRUE
2324,533,Best Actress,2010,2009,TRUE
2325,56,Best Actress,2010,2009,TRUE
2326,95,Best Actress,2011,2010,TRUE
2327,605,Best Actress,2012,2011,TRUE
2328,759,Best Actress,2013,2012,TRUE
2329,98,Best Actress,2014,2013,TRUE
2330,502,Best Actress,2015,2014,TRUE
2331,454,Best Actress,2016,2015,TRUE
2332,320,Best Actress,2017,2016,TRUE
2333,781,Best Actress,2018,2017,TRUE
2334,566,Best Actress,2019,2018,TRUE
2335,26,Best Actress,2019,2018,TRUE
2336,352,Best Actress,2020,2019,TRUE
2337,401,Best Actress,2021,2020,TRUE
2338,887,Best Actress,2022,2021,TRUE
2339,727,Best Actress,2023,2022,TRUE
2340,432,Best Actress,2024,2023,TRUE
2341,678,Best Actress,2025,2024,TRUE
2342,253,Best Actress,2026,2025,TRUE
2343,68,Best Supporting Actor,1996,1995,TRUE
2344,692,Best Supporting Actor,1996,1995,TRUE
2345,296,Best Supporting Actor,1997,1996,TRUE
2346,888,Best Supporting Actor,1998,1997,TRUE
2347,889,Best Supporting Actor,1999,1998,TRUE
2348,588,Best Supporting Actor,2000,1999,TRUE
2349,235,Best Supporting Actor,2001,2000,TRUE
2350,291,Best Supporting Actor,2002,2001,TRUE
2351,882,Best Supporting Actor,2003,2002,TRUE
2352,390,Best Supporting Actor,2004,2003,TRUE
2353,481,Best Supporting Actor,2005,2004,TRUE
2354,506,Best Supporting Actor,2006,2005,TRUE
2355,336,Best Supporting Actor,2007,2006,TRUE
2356,400,Best Supporting Actor,2008,2007,TRUE
2357,549,Best Supporting Actor,2009,2008,TRUE
2358,289,Best Supporting Actor,2010,2009,TRUE
2359,567,Best Supporting Actor,2011,2010,TRUE
2360,519,Best Supporting Actor,2012,2011,TRUE
2361,334,Best Supporting Actor,2013,2012,TRUE
2362,158,Best Supporting Actor,2014,2013,TRUE
2363,93,Best Supporting Actor,2015,2014,TRUE
2364,531,Best Supporting Actor,2016,2015,TRUE
2365,349,Best Supporting Actor,2017,2016,TRUE
2366,781,Best Supporting Actor,2018,2017,TRUE
2367,249,Best Supporting Actor,2019,2018,TRUE
2368,408,Best Supporting Actor,2020,2019,TRUE
2369,303,Best Supporting Actor,2021,2020,TRUE
2370,144,Best Supporting Actor,2022,2021,TRUE
2371,200,Best Supporting Actor,2023,2022,TRUE
2372,415,Best Supporting Actor,2024,2023,TRUE
2373,22,Best Supporting Actor,2025,2024,TRUE
2374,221,Best Supporting Actor,2026,2025,TRUE
2375,362,Best Supporting Actress,1996,1995,TRUE
2376,890,Best Supporting Actress,1997,1996,TRUE
2377,891,Best Supporting Actress,1998,1997,TRUE
2378,892,Best Supporting Actress,1999,1998,TRUE
2379,893,Best Supporting Actress,2000,1999,TRUE
2380,46,Best Supporting Actress,2001,2000,TRUE
2381,7,Best Supporting Actress,2002,2001,TRUE
2382,134,Best Supporting Actress,2003,2002,TRUE
2383,145,Best Supporting Actress,2004,2003,TRUE
2384,520,Best Supporting Actress,2005,2004,TRUE
2385,113,Best Supporting Actress,2006,2005,TRUE
2386,894,Best Supporting Actress,2006,2005,TRUE
2387,184,Best Supporting Actress,2007,2006,TRUE
2388,400,Best Supporting Actress,2008,2007,TRUE
2389,549,Best Supporting Actress,2009,2008,TRUE
2390,433,Best Supporting Actress,2010,2009,TRUE
2391,567,Best Supporting Actress,2011,2010,TRUE
2392,519,Best Supporting Actress,2012,2011,TRUE
2393,334,Best Supporting Actress,2013,2012,TRUE
2394,52,Best Supporting Actress,2014,2013,TRUE
2395,105,Best Supporting Actress,2015,2014,TRUE
2396,656,Best Supporting Actress,2016,2015,TRUE
2397,376,Best Supporting Actress,2017,2016,TRUE
2398,781,Best Supporting Actress,2018,2017,TRUE
2399,279,Best Supporting Actress,2019,2018,TRUE
2400,352,Best Supporting Actress,2020,2019,TRUE
2401,401,Best Supporting Actress,2021,2020,TRUE
2402,144,Best Supporting Actress,2022,2021,TRUE
2403,200,Best Supporting Actress,2023,2022,TRUE
2404,415,Best Supporting Actress,2024,2023,TRUE
2405,197,Best Supporting Actress,2025,2024,TRUE
2406,740,Best Supporting Actress,2026,2025,TRUE
2407,108,Best Director,1996,1995,TRUE
2408,204,Best Director,1997,1996,TRUE
2409,319,Best Director,1998,1997,TRUE
2410,461,Best Director,1999,1998,TRUE
2411,49,Best Director,2000,1999,TRUE
2412,719,Best Director,2001,2000,TRUE
2413,7,Best Director,2002,2001,TRUE
2414,595,Best Director,2003,2002,TRUE
2415,623,Best Director,2004,2003,TRUE
2416,481,Best Director,2005,2004,TRUE
2417,113,Best Director,2006,2005,TRUE
2418,803,Best Director,2007,2006,TRUE
2419,400,Best Director,2008,2007,TRUE
2420,487,Best Director,2009,2008,TRUE
2421,598,Best Director,2010,2009,TRUE
2422,672,Best Director,2011,2010,TRUE
2423,519,Best Director,2012,2011,TRUE
2424,759,Best Director,2013,2012,TRUE
2425,247,Best Director,2014,2013,TRUE
2426,105,Best Director,2015,2014,TRUE
2427,656,Best Director,2016,2015,TRUE
2428,320,Best Director,2017,2016,TRUE
2429,781,Best Director,2018,2017,TRUE
2430,451,Best Director,2019,2018,TRUE
2431,4,Best Director,2020,2019,TRUE
2432,401,Best Director,2021,2020,TRUE
2433,643,Best Director,2022,2021,TRUE
2434,200,Best Director,2023,2022,TRUE
2435,415,Best Director,2024,2023,TRUE
2436,65,Best Director,2025,2024,TRUE
2437,409,Best Director,2026,2025,TRUE
