nomination_id,movie_id,category,ceremony_year,film_year,won
1278,673,Best Picture - Drama,1944,1943,TRUE
1279,238,Best Picture - Drama,1945,1944,TRUE
1280,625,Best Picture - Drama,1946,1945,TRUE
1281,527,Best Picture - Drama,1947,1946,TRUE
1282,229,Best Picture - Drama,1948,1947,TRUE
1283,299,Best Picture - Drama,1949,1948,TRUE
1284,43,Best Picture - Drama,1950,1949,TRUE
1285,503,Best Picture - Drama,1951,1950,TRUE
1286,21,Best Picture - Drama,1952,1951,TRUE
1287,587,Best Picture - Drama,1953,1952,TRUE
1288,658,Best Picture - Drama,1954,1953,TRUE
1289,407,Best Picture - Drama,1955,1954,TRUE
1290,192,Best Picture - Drama,1956,1955,TRUE
1291,70,Best Picture - Drama,1957,1956,TRUE
1292,534,Best Picture - Drama,1958,1957,TRUE
1293,551,Best Picture - Drama,1959,1958,TRUE
1294,92,Best Picture - Drama,1960,1959,TRUE
1295,493,Best Picture - Drama,1961,1960,TRUE
1296,589,Best Picture - Drama,1962,1961,TRUE
1297,324,Best Picture - Drama,1963,1962,TRUE
1298,774,Best Picture - Drama,1964,1963,TRUE
1299,88,Best Picture - Drama,1965,1964,TRUE
1300,177,Best Picture - Drama,1966,1965,TRUE
1301,17,Best Picture - Drama,1967,1966,TRUE
1302,285,Best Picture - Drama,1968,1967,TRUE
1303,617,Best Picture - Drama,1969,1968,TRUE
1304,63,Best Picture - Drama,1970,1969,TRUE
1305,343,Best Picture - Drama,1971,1970,TRUE
1306,570,Best Picture - Drama,1972,1971,TRUE
1307,575,Best Picture - Drama,1973,1972,TRUE
1308,561,Best Picture - Drama,1974,1973,TRUE
1309,136,Best Picture - Drama,1975,1974,TRUE
1310,410,Best Picture - Drama,1976,1975,TRUE
1311,450,Best Picture - Drama,1977,1976,TRUE
1312,690,Best Picture - Drama,1978,1977,TRUE
1313,360,Best Picture - Drama,1979,1978,TRUE
1314,318,Best Picture - Drama,1980,1979,TRUE
1315,416,Best Picture - Drama,1981,1980,TRUE
1316,406,Best Picture - Drama,1982,1981,TRUE
1317,190,Best Picture - Drama,1983,1982,TRUE
1318,510,Best Picture - Drama,1984,1983,TRUE
1319,47,Best Picture - Drama,1985,1984,TRUE
1320,418,Best Picture - Drama,1986,1985,TRUE
1321,430,Best Picture - Drama,1987,1986,TRUE
1322,611,Best Picture - Drama,1988,1987,TRUE
1323,444,Best Picture - Drama,1989,1988,TRUE
1324,102,Best Picture - Drama,1990,1989,TRUE
1325,159,Best Picture - Drama,1991,1990,TRUE
1326,116,Best Picture - Drama,1992,1991,TRUE
1327,463,Best Picture - Drama,1993,1992,TRUE
1328,464,Best Picture - Drama,1994,1993,TRUE
1329,218,Best Picture - Drama,1995,1994,TRUE
1330,468,Best Picture - Drama,1996,1995,TRUE
1331,560,Best Picture - Drama,1997,1996,TRUE
1332,709,Best Picture - Drama,1998,1997,TRUE
1333,461,Best Picture - Drama,1999,1998,TRUE
1334,49,Best Picture - Drama,2000,1999,TRUE
1335,235,Best Picture - Drama,2001,2000,TRUE
1336,7,Best Picture - Drama,2002,2001,TRUE
1337,595,Best Picture - Drama,2003,2002,TRUE
1338,623,Best Picture - Drama,2004,2003,TRUE
1339,520,Best Picture - Drama,2005,2004,TRUE
1340,113,Best Picture - Drama,2006,2005,TRUE
1341,81,Best Picture - Drama,2007,2006,TRUE
1342,76,Best Picture - Drama,2008,2007,TRUE
1343,487,Best Picture - Drama,2009,2008,TRUE
1344,78,Best Picture - Drama,2010,2009,TRUE
1345,672,Best Picture - Drama,2011,2010,TRUE
1346,553,Best Picture - Drama,2012,2011,TRUE
1347,69,Best Picture - Drama,2013,2012,TRUE
1348,2,Best Picture - Drama,2014,2013,TRUE
1349,105,Best Picture - Drama,2015,2014,TRUE
1350,656,Best Picture - Drama,2016,2015,TRUE
1351,376,Best Picture - Drama,2017,2016,TRUE
1352,781,Best Picture - Drama,2018,2017,TRUE
1353,100,Best Picture - Drama,2019,2018,TRUE
1354,4,Best Picture - Drama,2020,2019,TRUE
1355,401,Best Picture - Drama,2021,2020,TRUE
1356,643,Best Picture - Drama,2022,2021,TRUE
1357,563,Best Picture - Drama,2023,2022,TRUE
1358,415,Best Picture - Drama,2024,2023,TRUE
1359,536,Best Picture - Drama,2025,2024,TRUE
1360,253,Best Picture - Drama,2026,2025,TRUE
1361,55,Best Picture - Musical or Comedy,1952,1951,TRUE
1362,783,Best Picture - Musical or Comedy,1953,1952,TRUE
1363,763,Best Picture - Musical or Comedy,1955,1954,TRUE
1364,766,Best Picture - Musical or Comedy,1956,1955,TRUE
1365,608,Best Picture - Musical or Comedy,1957,1956,TRUE
1366,767,Best Picture - Musical or Comedy,1958,1957,TRUE
1367,233,Best Picture - Musical or Comedy,1959,1958,TRUE
1368,771,Best Picture - Musical or Comedy,1960,1959,TRUE
1369,518,Best Picture - Musical or Comedy,1961,1960,TRUE
1370,741,Best Picture - Musical or Comedy,1962,1961,TRUE
1371,773,Best Picture - Musical or Comedy,1963,1962,TRUE
1372,712,Best Picture - Musical or Comedy,1964,1963,TRUE
1373,388,Best Picture - Musical or Comedy,1965,1964,TRUE
1374,674,Best Picture - Musical or Comedy,1966,1965,TRUE
1375,779,Best Picture - Musical or Comedy,1967,1966,TRUE
1376,580,Best Picture - Musical or Comedy,1968,1967,TRUE
1377,405,Best Picture - Musical or Comedy,1969,1968,TRUE
1378,780,Best Picture - Musical or Comedy,1970,1969,TRUE
1379,768,Best Picture - Musical or Comedy,1971,1970,TRUE
1380,209,Best Picture - Musical or Comedy,1972,1971,TRUE
1381,121,Best Picture - Musical or Comedy,1973,1972,TRUE
1382,51,Best Picture - Musical or Comedy,1974,1973,TRUE
1383,777,Best Picture - Musical or Comedy,1975,1974,TRUE
1384,680,Best Picture - Musical or Comedy,1976,1975,TRUE
1385,26,Best Picture - Musical or Comedy,1977,1976,TRUE
1386,579,Best Picture - Musical or Comedy,1978,1977,TRUE
1387,257,Best Picture - Musical or Comedy,1979,1978,TRUE
1388,109,Best Picture - Musical or Comedy,1980,1979,TRUE
1389,142,Best Picture - Musical or Comedy,1981,1980,TRUE
1390,73,Best Picture - Musical or Comedy,1982,1981,TRUE
1391,713,Best Picture - Musical or Comedy,1983,1982,TRUE
1392,784,Best Picture - Musical or Comedy,1984,1983,TRUE
1393,770,Best Picture - Musical or Comedy,1985,1984,TRUE
1394,435,Best Picture - Musical or Comedy,1986,1985,TRUE
1395,254,Best Picture - Musical or Comedy,1987,1986,TRUE
1396,269,Best Picture - Musical or Comedy,1988,1987,TRUE
1397,753,Best Picture - Musical or Comedy,1989,1988,TRUE
1398,186,Best Picture - Musical or Comedy,1990,1989,TRUE
1399,765,Best Picture - Musical or Comedy,1991,1990,TRUE
1400,87,Best Picture - Musical or Comedy,1992,1991,TRUE
1401,778,Best Picture - Musical or Comedy,1993,1992,TRUE
1402,769,Best Picture - Musical or Comedy,1994,1993,TRUE
1403,776,Best Picture - Musical or Comedy,1995,1994,TRUE
1404,80,Best Picture - Musical or Comedy,1996,1995,TRUE
1405,764,Best Picture - Musical or Comedy,1997,1996,TRUE
1406,74,Best Picture - Musical or Comedy,1998,1997,TRUE
1407,474,Best Picture - Musical or Comedy,1999,1998,TRUE
1408,782,Best Picture - Musical or Comedy,2000,1999,TRUE
1409,46,Best Picture - Musical or Comedy,2001,2000,TRUE
1410,380,Best Picture - Musical or Comedy,2002,2001,TRUE
1411,134,Best Picture - Musical or Comedy,2003,2002,TRUE
1412,340,Best Picture - Musical or Comedy,2004,2003,TRUE
1413,481,Best Picture - Musical or Comedy,2005,2004,TRUE
1414,736,Best Picture - Musical or Comedy,2006,2005,TRUE
1415,184,Best Picture - Musical or Comedy,2007,2006,TRUE
1416,772,Best Picture - Musical or Comedy,2008,2007,TRUE
1417,732,Best Picture - Musical or Comedy,2009,2008,TRUE
1418,775,Best Picture - Musical or Comedy,2010,2009,TRUE
1419,606,Best Picture - Musical or Comedy,2011,2010,TRUE
1420,519,Best Picture - Musical or Comedy,2012,2011,TRUE
1421,327,Best Picture - Musical or Comedy,2013,2012,TRUE
1422,52,Best Picture - Musical or Comedy,2014,2013,TRUE
1423,581,Best Picture - Musical or Comedy,2015,2014,TRUE
1424,629,Best Picture - Musical or Comedy,2016,2015,TRUE
1425,320,Best Picture - Musical or Comedy,2017,2016,TRUE
1426,322,Best Picture - Musical or Comedy,2018,2017,TRUE
1427,249,Best Picture - Musical or Comedy,2019,2018,TRUE
1428,408,Best Picture - Musical or Comedy,2020,2019,TRUE
1429,762,Best Picture - Musical or Comedy,2021,2020,TRUE
1430,741,Best Picture - Musical or Comedy,2022,2021,TRUE
1431,524,Best Picture - Musical or Comedy,2023,2022,TRUE
1432,432,Best Picture - Musical or Comedy,2024,2023,TRUE
1433,197,Best Picture - Musical or Comedy,2025,2024,TRUE
1434,409,Best Picture - Musical or Comedy,2026,2025,TRUE
1692,739,Best Actor - Drama,1944,1943,TRUE
1693,745,Best Actor - Drama,1945,1944,TRUE
1694,625,Best Actor - Drama,1946,1945,TRUE
1695,701,Best Actor - Drama,1947,1946,TRUE
1696,10,Best Actor - Drama,1948,1947,TRUE
1697,252,Best Actor - Drama,1949,1948,TRUE
1698,43,Best Actor - Drama,1950,1949,TRUE
1699,157,Best Actor - Drama,1951,1950,TRUE
1700,804,Best Actor - Drama,1952,1951,TRUE
1701,265,Best Actor - Drama,1953,1952,TRUE
1702,805,Best Actor - Drama,1954,1953,TRUE
1703,407,Best Actor - Drama,1955,1954,TRUE
1704,353,Best Actor - Drama,1956,1955,TRUE
1705,344,Best Actor - Drama,1957,1956,TRUE
1706,534,Best Actor - Drama,1958,1957,TRUE
1707,470,Best Actor - Drama,1959,1958,TRUE
1708,806,Best Actor - Drama,1960,1959,TRUE
1709,195,Best Actor - Drama,1961,1960,TRUE
1710,304,Best Actor - Drama,1962,1961,TRUE
1711,711,Best Actor - Drama,1963,1962,TRUE
1712,333,Best Actor - Drama,1964,1963,TRUE
1713,88,Best Actor - Drama,1965,1964,TRUE
1714,177,Best Actor - Drama,1966,1965,TRUE
1715,17,Best Actor - Drama,1967,1966,TRUE
1716,285,Best Actor - Drama,1968,1967,TRUE
1717,617,Best Actor - Drama,1969,1968,TRUE
1718,724,Best Actor - Drama,1970,1969,TRUE
1719,422,Best Actor - Drama,1971,1970,TRUE
1720,570,Best Actor - Drama,1972,1971,TRUE
1721,575,Best Actor - Drama,1973,1972,TRUE
1722,807,Best Actor - Drama,1974,1973,TRUE
1723,136,Best Actor - Drama,1975,1974,TRUE
1724,410,Best Actor - Drama,1976,1975,TRUE
1725,395,Best Actor - Drama,1977,1976,TRUE
1726,808,Best Actor - Drama,1978,1977,TRUE
1727,148,Best Actor - Drama,1979,1978,TRUE
1728,318,Best Actor - Drama,1980,1979,TRUE
1729,442,Best Actor - Drama,1981,1980,TRUE
1730,406,Best Actor - Drama,1982,1981,TRUE
1731,226,Best Actor - Drama,1983,1982,TRUE
1732,557,Best Actor - Drama,1984,1983,TRUE
1733,47,Best Actor - Drama,1985,1984,TRUE
1734,809,Best Actor - Drama,1986,1985,TRUE
1735,810,Best Actor - Drama,1987,1986,TRUE
1736,737,Best Actor - Drama,1988,1987,TRUE
1737,444,Best Actor - Drama,1989,1988,TRUE
1738,102,Best Actor - Drama,1990,1989,TRUE
1739,449,Best Actor - Drama,1991,1990,TRUE
1740,811,Best Actor - Drama,1992,1991,TRUE
1741,463,Best Actor - Drama,1993,1992,TRUE
1742,425,Best Actor - Drama,1994,1993,TRUE
1743,218,Best Actor - Drama,1995,1994,TRUE
1744,325,Best Actor - Drama,1996,1995,TRUE
1745,479,Best Actor - Drama,1997,1996,TRUE
1746,812,Best Actor - Drama,1998,1997,TRUE
1747,813,Best Actor - Drama,1999,1998,TRUE
1748,49,Best Actor - Drama,2000,1999,TRUE
1749,235,Best Actor - Drama,2001,2000,TRUE
1750,284,Best Actor - Drama,2002,2001,TRUE
1751,595,Best Actor - Drama,2003,2002,TRUE
1752,814,Best Actor - Drama,2004,2003,TRUE
1753,520,Best Actor - Drama,2005,2004,TRUE
1754,124,Best Actor - Drama,2006,2005,TRUE
1755,612,Best Actor - Drama,2007,2006,TRUE
1756,76,Best Actor - Drama,2008,2007,TRUE
1757,364,Best Actor - Drama,2009,2008,TRUE
1758,153,Best Actor - Drama,2010,2009,TRUE
1759,609,Best Actor - Drama,2011,2010,TRUE
1760,553,Best Actor - Drama,2012,2011,TRUE
1761,334,Best Actor - Drama,2013,2012,TRUE
1762,158,Best Actor - Drama,2014,2013,TRUE
1763,683,Best Actor - Drama,2015,2014,TRUE
1764,656,Best Actor - Drama,2016,2015,TRUE
1765,349,Best Actor - Drama,2017,2016,TRUE
1766,781,Best Actor - Drama,2018,2017,TRUE
1767,100,Best Actor - Drama,2019,2018,TRUE
1768,352,Best Actor - Drama,2020,2019,TRUE
1769,565,Best Actor - Drama,2021,2020,TRUE
1770,643,Best Actor - Drama,2022,2021,TRUE
1771,563,Best Actor - Drama,2023,2022,TRUE
1772,415,Best Actor - Drama,2024,2023,TRUE
1773,536,Best Actor - Drama,2025,2024,TRUE
1774,663,Best Actor - Drama,2026,2025,TRUE
1775,673,Best Actress - Drama,1944,1943,TRUE
1776,228,Best Actress - Drama,1945,1944,TRUE
1777,526,Best Actress - Drama,1946,1945,TRUE
1778,815,Best Actress - Drama,1947,1946,TRUE
1779,816,Best Actress - Drama,1948,1947,TRUE
1780,299,Best Actress - Drama,1949,1948,TRUE
1781,591,Best Actress - Drama,1950,1949,TRUE
1782,503,Best Actress - Drama,1951,1950,TRUE
1783,817,Best Actress - Drama,1952,1951,TRUE
1784,818,Best Actress - Drama,1953,1952,TRUE
1785,452,Best Actress - Drama,1954,1953,TRUE
1786,545,Best Actress - Drama,1955,1954,TRUE
1787,659,Best Actress - Drama,1956,1955,TRUE
1788,59,Best Actress - Drama,1957,1956,TRUE
1789,686,Best Actress - Drama,1958,1957,TRUE
1790,277,Best Actress - Drama,1959,1958,TRUE
1791,819,Best Actress - Drama,1960,1959,TRUE
1792,820,Best Actress - Drama,1961,1960,TRUE
