nomination_id,movie_id,category,ceremony_year,film_year,won
1655,186,Outstanding Theatrical Motion Picture,1990,1989,TRUE
1656,159,Outstanding Theatrical Motion Picture,1991,1990,TRUE
1657,667,Outstanding Theatrical Motion Picture,1992,1991,TRUE
1658,546,Outstanding Theatrical Motion Picture,1993,1992,TRUE
1659,464,Outstanding Theatrical Motion Picture,1994,1993,TRUE
1660,218,Outstanding Theatrical Motion Picture,1995,1994,TRUE
1661,68,Outstanding Theatrical Motion Picture,1996,1995,TRUE
1662,560,Outstanding Theatrical Motion Picture,1997,1996,TRUE
1663,709,Outstanding Theatrical Motion Picture,1998,1997,TRUE
1664,461,Outstanding Theatrical Motion Picture,1999,1998,TRUE
1665,49,Outstanding Theatrical Motion Picture,2000,1999,TRUE
1666,235,Outstanding Theatrical Motion Picture,2001,2000,TRUE
1667,380,Outstanding Theatrical Motion Picture,2002,2001,TRUE
1668,134,Outstanding Theatrical Motion Picture,2003,2002,TRUE
1669,623,Outstanding Theatrical Motion Picture,2004,2003,TRUE
1670,520,Outstanding Theatrical Motion Picture,2005,2004,TRUE
1671,113,Outstanding Theatrical Motion Picture,2006,2005,TRUE
1672,336,Outstanding Theatrical Motion Picture,2007,2006,TRUE
1673,400,Outstanding Theatrical Motion Picture,2008,2007,TRUE
1674,487,Outstanding Theatrical Motion Picture,2009,2008,TRUE
1675,598,Outstanding Theatrical Motion Picture,2010,2009,TRUE
1676,609,Outstanding Theatrical Motion Picture,2011,2010,TRUE
1677,519,Outstanding Theatrical Motion Picture,2012,2011,TRUE
1678,69,Outstanding Theatrical Motion Picture,2013,2012,TRUE
1679,2,Outstanding Theatrical Motion Picture,2014,2013,TRUE
1680,93,Outstanding Theatrical Motion Picture,2015,2014,TRUE
1681,531,Outstanding Theatrical Motion Picture,2016,2015,TRUE
1682,320,Outstanding Theatrical Motion Picture,2017,2016,TRUE
1683,781,Outstanding Theatrical Motion Picture,2018,2017,TRUE
1684,249,Outstanding Theatrical Motion Picture,2019,2018,TRUE
1685,4,Outstanding Theatrical Motion Picture,2020,2019,TRUE
1686,401,Outstanding Theatrical Motion Picture,2021,2020,TRUE
1687,144,Outstanding Theatrical Motion Picture,2022,2021,TRUE
1688,200,Outstanding Theatrical Motion Picture,2023,2022,TRUE
1689,415,Outstanding Theatrical Motion Picture,2024,2023,TRUE
1690,65,Outstanding Theatrical Motion Picture,2025,2024,TRUE
1691,409,Outstanding Theatrical Motion Picture,2026,2025,TRUE
