nomination_id,movie_id,category,ceremony_year,film_year,won
1577,15,Outstanding Feature Film,1949,1948,TRUE
1578,43,Outstanding Feature Film,1950,1949,TRUE
1579,40,Outstanding Feature Film,1951,1950,TRUE
1580,21,Outstanding Feature Film,1952,1951,TRUE
1581,649,Outstanding Feature Film,1953,1952,TRUE
1582,223,Outstanding Feature Film,1954,1953,TRUE
1583,407,Outstanding Feature Film,1955,1954,TRUE
1584,353,Outstanding Feature Film,1956,1955,TRUE
1585,232,Outstanding Feature Film,1957,1956,TRUE
1586,534,Outstanding Feature Film,1958,1957,TRUE
1587,233,Outstanding Feature Film,1959,1958,TRUE
1588,92,Outstanding Feature Film,1960,1959,TRUE
1589,518,Outstanding Feature Film,1961,1960,TRUE
1590,741,Outstanding Feature Film,1962,1961,TRUE
1591,324,Outstanding Feature Film,1963,1962,TRUE
1592,712,Outstanding Feature Film,1964,1963,TRUE
1593,388,Outstanding Feature Film,1965,1964,TRUE
1594,177,Outstanding Feature Film,1966,1965,TRUE
1595,17,Outstanding Feature Film,1967,1966,TRUE
1596,580,Outstanding Feature Film,1968,1967,TRUE
1597,405,Outstanding Feature Film,1969,1968,TRUE
1598,359,Outstanding Feature Film,1970,1969,TRUE
1599,422,Outstanding Feature Film,1971,1970,TRUE
1600,570,Outstanding Feature Film,1972,1971,TRUE
1601,575,Outstanding Feature Film,1973,1972,TRUE
1602,561,Outstanding Feature Film,1974,1973,TRUE
1603,136,Outstanding Feature Film,1975,1974,TRUE
1604,410,Outstanding Feature Film,1976,1975,TRUE
1605,44,Outstanding Feature Film,1977,1976,TRUE
1606,64,Outstanding Feature Film,1978,1977,TRUE
1607,550,Outstanding Feature Film,1979,1978,TRUE
1608,318,Outstanding Feature Film,1980,1979,TRUE
1609,442,Outstanding Feature Film,1981,1980,TRUE
1610,406,Outstanding Feature Film,1982,1981,TRUE
1611,226,Outstanding Feature Film,1983,1982,TRUE
1612,510,Outstanding Feature Film,1984,1983,TRUE
1613,47,Outstanding Feature Film,1985,1984,TRUE
1614,542,Outstanding Feature Film,1986,1985,TRUE
1615,430,Outstanding Feature Film,1987,1986,TRUE
1616,790,Outstanding Feature Film,1988,1987,TRUE
1617,444,Outstanding Feature Film,1989,1988,TRUE
1618,102,Outstanding Feature Film,1990,1989,TRUE
1619,159,Outstanding Feature Film,1991,1990,TRUE
1620,667,Outstanding Feature Film,1992,1991,TRUE
1621,728,Outstanding Feature Film,1993,1992,TRUE
1622,464,Outstanding Feature Film,1994,1993,TRUE
1623,218,Outstanding Feature Film,1995,1994,TRUE
1624,68,Outstanding Feature Film,1996,1995,TRUE
1625,560,Outstanding Feature Film,1997,1996,TRUE
1626,319,Outstanding Feature Film,1998,1997,TRUE
1627,461,Outstanding Feature Film,1999,1998,TRUE
1628,49,Outstanding Feature Film,2000,1999,TRUE
1629,787,Outstanding Feature Film,2001,2000,TRUE
1630,7,Outstanding Feature Film,2002,2001,TRUE
1631,134,Outstanding Feature Film,2003,2002,TRUE
1632,623,Outstanding Feature Film,2004,2003,TRUE
1633,520,Outstanding Feature Film,2005,2004,TRUE
1634,113,Outstanding Feature Film,2006,2005,TRUE
1635,184,Outstanding Feature Film,2007,2006,TRUE
1636,400,Outstanding Feature Film,2008,2007,TRUE
1637,487,Outstanding Feature Film,2009,2008,TRUE
1638,598,Outstanding Feature Film,2010,2009,TRUE
1639,609,Outstanding Feature Film,2011,2010,TRUE
1640,519,Outstanding Feature Film,2012,2011,TRUE
1641,69,Outstanding Feature Film,2013,2012,TRUE
1642,247,Outstanding Feature Film,2014,2013,TRUE
1643,93,Outstanding Feature Film,2015,2014,TRUE
1644,656,Outstanding Feature Film,2016,2015,TRUE
1645,320,Outstanding Feature Film,2017,2016,TRUE
1646,781,Outstanding Feature Film,2018,2017,TRUE
1647,451,Outstanding Feature Film,2019,2018,TRUE
1648,4,Outstanding Feature Film,2020,2019,TRUE
1649,401,Outstanding Feature Film,2021,2020,TRUE
1650,643,Outstanding Feature Film,2022,2021,TRUE
1651,200,Outstanding Feature Film,2023,2022,TRUE
1652,415,Outstanding Feature Film,2024,2023,TRUE
1653,65,Outstanding Feature Film,2025,2024,TRUE
1654,409,Outstanding Feature Film,2026,2025,TRUE
