movie_id,movie_title
1,12 Angry Men
2,12 Years a Slave
3,127 Hours
4,1917
5,42nd Street
6,7th Heaven / Street Angel / Sunrise
7,A Beautiful Mind
8,A Clockwork Orange
9,A Complete Unknown
10,A Double Life
11,A Farewell to Arms
12,A Few Good Men
13,A Fish Called Wanda
14,A Free Soul
15,A Letter to Three Wives
16,A Man and a Woman
17,A Man for All Seasons
18,A Midsummer Night's Dream
19,A Passage to India
20,A Patch of Blue
21,A Place in the Sun
22,A Real Pain
23,A Room with a View
24,A Serious Man
25,A Soldier's Story
26,A Star Is Born
27,A Streetcar Named Desire
28,A Tale of Two Cities
29,A Thousand Clowns
30,A Touch of Class
31,A Tree Grows in Brooklyn
32,Adaptation
33,Affliction
34,Airport
35,Alexander's Ragtime Band
36,Alfie
37,Alibi
38,Alice Adams
39,Alice Doesn't Live Here Anymore
40,All About Eve
41,All Quiet on the Western Front
42,All That Jazz
43,All the King's Men
44,All the President's Men
45,All This and Heaven Too
46,Almost Famous
47,Amadeus
48,America America
49,American Beauty
50,American Fiction
51,American Graffiti
52,American Hustle
53,American Sniper
54,Amour
55,An American in Paris
56,An Education
57,An Officer and a Gentleman
58,An Unmarried Woman
59,Anastasia
60,Anatomy of a Fall
61,Anatomy of a Murder
62,Anchors Aweigh
63,Anne of the Thousand Days
64,Annie Hall
65,Anora
66,Anthony Adverse
67,Apocalypse Now
68,Apollo 13
69,Argo
70,Around the World in 80 Days
71,Arrival
72,Arrowsmith
73,Arthur
74,As Good as It Gets
75,Atlantic City
76,Atonement
77,Auntie Mame
78,Avatar
79,Awakenings
80,Babe
81,Babel
82,Bad Girl
83,Barbie
84,Barry Lyndon
85,Battleground
86,Beasts of the Southern Wild
87,Beauty and the Beast
88,Becket
89,Beginners
90,Being There
91,Belfast
92,Ben-Hur
93,Birdman
94,Black Panther
95,Black Swan
96,BlacKkKlansman
97,Blossoms in the Dust
98,Blue Jasmine
99,Blue Sky
100,Bohemian Rhapsody
101,Bonnie and Clyde
102,Born on the Fourth of July
103,Born Yesterday
104,Bound for Glory
105,Boyhood
106,Boys Don't Cry
107,Boys Town
108,Braveheart
109,Breaking Away
110,Bridge of Spies
111,Broadcast News
112,Broadway Melody of 1936
113,Brokeback Mountain
114,Brooklyn
115,Bugonia
116,Bugsy
117,Bullets over Broadway
118,Butch Cassidy and the Sundance Kid
119,BUtterfield 8
120,Butterflies Are Free
121,Cabaret
122,Cactus Flower
123,Call Me by Your Name
124,Capote
125,Captain Blood
126,Captain Phillips
127,Captains Courageous
128,Casablanca
129,Cat Ballou
130,Cat on a Hot Tin Roof
131,Cavalcade
132,Chariots of Fire
133,Charly
134,Chicago
135,Children of a Lesser God
136,Chinatown
137,Chocolat
138,Cimarron
139,Citizen Kane
140,City Slickers
141,Cleopatra
142,Coal Miner's Daughter
143,Cocoon
144,CODA
145,Cold Mountain
146,Come and Get It
147,Come Back Little Sheba
148,Coming Home
149,Conclave
150,Cool Hand Luke
151,Coquette
152,Crash
153,Crazy Heart
154,Cries and Whispers
155,Crossfire
156,Crouching Tiger Hidden Dragon
157,Cyrano de Bergerac
158,Dallas Buyers Club
159,Dances with Wolves
160,Dangerous
161,Dangerous Liaisons
162,Dark Victory
163,Darkest Hour
164,Darling
165,David Copperfield
166,Dead End
167,Dead Man Walking
168,Dead Poets Society
169,Decision Before Dawn
170,Deliverance
171,Designing Woman
172,Disraeli
173,District 9
174,Divorce Italian Style
175,Django Unchained
176,Doctor Dolittle
177,Doctor Zhivago
178,Dodsworth
179,Dog Day Afternoon
180,Don't Look Up
181,Double Indemnity
182,Dr. Jekyll and Mr. Hyde
183,Dr. Strangelove
184,Dreamgirls
185,Drive My Car
186,Driving Miss Daisy
187,Dune
188,Dune: Part Two
189,Dunkirk
190,E.T. the Extra-Terrestrial
191,East Lynne
192,East of Eden
193,Ed Wood
194,Elizabeth
195,Elmer Gantry
196,Elvis
197,Emilia Pérez
198,Erin Brockovich
199,Eternal Sunshine of the Spotless Mind
200,Everything Everywhere All at Once
201,Extremely Loud & Incredibly Close
202,F1
203,Fanny
204,Fargo
205,Fatal Attraction
206,Father Goose
207,Father of the Bride
208,Fences
209,Fiddler on the Roof
210,Field of Dreams
211,Finding Neverland
212,Five Easy Pieces
213,Five Star Final
214,Flirtation Walk
215,For Whom the Bell Tolls
216,Ford v Ferrari
217,Foreign Correspondent
218,Forrest Gump
219,Four Daughters
220,Four Weddings and a Funeral
221,Frankenstein
222,Friendly Persuasion
223,From Here to Eternity
224,Frost/Nixon
225,Funny Girl
226,Gandhi
227,Gangs of New York
228,Gaslight
229,Gentleman's Agreement
230,Get Out
231,Ghost
232,Giant
233,Gigi
234,Girl Interrupted
235,Gladiator
236,Glory
237,Gods and Monsters
238,Going My Way
239,Gone with the Wind
240,Good Night and Good Luck
241,Good Will Hunting
242,Goodbye Mr. Chips
243,Goodfellas
244,Gosford Park
245,Grand Hotel
246,Grand Illusion
247,Gravity
248,Great Expectations
249,Green Book
250,Guess Who's Coming to Dinner
251,Hacksaw Ridge
252,Hamlet
253,Hamnet
254,Hannah and Her Sisters
255,Harry and Tonto
256,Harvey
257,Heaven Can Wait
258,Hell or High Water
259,Hello Dolly!
260,Henry V
261,Her
262,Here Comes Mr. Jordan
263,Here Comes the Navy
264,Hidden Figures
265,High Noon
266,History Is Made at Night
267,Hold Back the Dawn
268,Hollywood Revue
269,Hope and Glory
270,How Green Was My Valley
271,How the West Was Won
272,Howards End
273,Hud
274,Hugo
275,I Am a Fugitive from a Chain Gang
276,I Tonya
277,I Want to Live!
278,I'm Still Here
279,If Beale Street Could Talk
280,Il Postino
281,Imitation of Life
282,In Old Arizona
283,In Old Chicago
284,In the Bedroom
285,In the Heat of the Night
286,In the Name of the Father
287,In Which We Serve
288,Inception
289,Inglourious Basterds
290,Interrupted Melody
291,Iris
292,It Happened One Night
293,It's a Wonderful Life
294,Ivanhoe
295,Jaws
296,Jerry Maguire
297,Jezebel
298,JFK
299,Johnny Belinda
300,Johnny Eager
301,Jojo Rabbit
302,Joker
303,Judas and the Black Messiah
304,Judgment at Nuremberg
305,Judy
306,Julia
307,Julius Caesar
308,Juno
309,Kentucky
310,Key Largo
311,Killers of the Flower Moon
312,King Richard
313,King Solomon's Mines
314,Kings Row
315,Kiss of the Spider Woman
316,Kitty Foyle
317,Klute
318,Kramer vs. Kramer
319,L.A. Confidential
320,La La Land
321,La Vie en Rose
322,Lady Bird
323,Lady for a Day
324,Lawrence of Arabia
325,Leaving Las Vegas
326,Lenny
327,Les Misérables
328,Letters from Iwo Jima
329,Libeled Lady
330,Licorice Pizza
331,Life Is Beautiful
332,Life of Pi
333,Lilies of the Field
334,Lincoln
335,Lion
336,Little Miss Sunshine
337,Little Women
338,Lives of a Bengal Lancer
339,Lost Horizon
340,Lost in Translation
341,Love Affair
342,Love Is a Many-Splendored Thing
343,Love Story
344,Lust for Life
345,M*A*S*H
346,Mad Max: Fury Road
347,Madame Curie
348,Maestro
349,Manchester by the Sea
350,Mank
351,Marie-Louise
352,Marriage Story
353,Marty
354,Marty Supreme
355,Mary Poppins
356,Master and Commander
357,Melvin and Howard
358,Michael Clayton
359,Midnight Cowboy
360,Midnight Express
361,Midnight in Paris
362,Mighty Aphrodite
363,Mildred Pierce
364,Milk
365,Million Dollar Baby
366,Min and Bill
367,Minari
368,Miracle on 34th Street
369,Misery
370,Missing
371,Mississippi Burning
372,Mister Roberts
373,Moneyball
374,Monster
375,Monster's Ball
376,Moonlight
377,Moonstruck
378,Morning Glory
379,Moulin Rouge
380,Moulin Rouge!
381,Mr. Deeds Goes to Town
382,Mr. Smith Goes to Washington
383,Mrs. Miniver
384,Munich
385,Murder on the Orient Express
386,Mutiny on the Bounty
387,My Cousin Vinny
388,My Fair Lady
389,My Left Foot
390,Mystic River
391,Nashville
392,National Velvet
393,Naughty Marietta
394,Nebraska
395,Network
396,Nicholas and Alexandra
397,Nickel Boys
398,Nightmare Alley
399,Ninotchka
400,No Country for Old Men
401,Nomadland
402,None but the Lonely Heart
403,Norma Rae
404,Of Mice and Men
405,Oliver!
406,On Golden Pond
407,On the Waterfront
408,Once Upon a Time in Hollywood
409,One Battle After Another
410,One Flew Over the Cuckoo's Nest
411,One Foot in Heaven
412,One Hour with You
413,One Hundred Men and a Girl
414,One Night of Love
415,Oppenheimer
416,Ordinary People
417,Our Town
418,Out of Africa
419,Paper Moon
420,Parasite
421,Past Lives
422,Patton
423,Peyton Place
424,Phantom Thread
425,Philadelphia
426,Philomena
427,Picnic
428,Pillow Talk
429,Places in the Heart
430,Platoon
431,Pollock
432,Poor Things
433,Precious
434,Princess O'Rourke
435,Prizzi's Honor
436,Promising Young Woman
437,Pulp Fiction
438,Pygmalion
439,Quiz Show
440,Quo Vadis
441,Rachel Rachel
442,Raging Bull
443,Raiders of the Lost Ark
444,Rain Man
445,Random Harvest
446,Ray
447,Rebecca
448,Reds
449,Reversal of Fortune
450,Rocky
451,Roma
452,Roman Holiday
453,Romeo and Juliet
454,Room
455,Room at the Top
456,Rosemary's Baby
457,Ruggles of Red Gap
458,Ryan's Daughter
459,San Francisco
460,Save the Tiger
461,Saving Private Ryan
462,Sayonara
463,Scent of a Woman
464,Schindler's List
465,Seabiscuit
466,Secrets & Lies
467,Selma
468,Sense and Sensibility
469,Sentimental Value
470,Separate Tables
471,Sergeant York
472,Seven Brides for Seven Brothers
473,Seventh Heaven
474,Shakespeare in Love
475,Shampoo
476,Shane
477,Shanghai Express
478,She Done Him Wrong
479,Shine
480,Ship of Fools
481,Sideways
482,Silver Linings Playbook
483,Since You Went Away
484,Sinners
485,Skippy
486,Sling Blade
487,Slumdog Millionaire
488,Smilin' Through
489,Sons and Lovers
490,Sophie's Choice
491,Sound of Metal
492,Sounder
493,Spartacus
494,Spellbound
495,Splendor in the Grass
496,Spotlight
497,Stage Door
498,Stagecoach
499,Stalag 17
500,Star Wars
501,State Fair
502,Still Alice
503,Sunset Boulevard
504,Suspicion
505,Sweet Bird of Youth
506,Syriana
507,Talk to Her
508,Taxi Driver
509,Tender Mercies
510,Terms of Endearment
511,Tess
512,Test Pilot
513,The Accidental Tourist
514,The Accused
515,The Adventures of Robin Hood
516,The African Queen
517,The Alamo
518,The Apartment
519,The Artist
520,The Aviator
521,The Awful Truth
522,The Bachelor and the Bobby-Soxer
523,The Bad and the Beautiful
524,The Banshees of Inisherin
525,The Barefoot Contessa
526,The Bells of St. Mary's
527,The Best Years of Our Lives
528,The Big Chill
529,The Big Country
530,The Big House
531,The Big Short
532,The Bishop's Wife
533,The Blind Side
534,The Bridge on the River Kwai
535,The Broadway Melody
536,The Brutalist
537,The Caine Mutiny
538,The Candidate
539,The Champ
540,The Cider House Rules
541,The Color of Money
542,The Color Purple
543,The Constant Gardener
544,The Conversation
545,The Country Girl
546,The Crying Game
