id,nomination_id,person_id
1,621,58
2,622,347
3,623,379
4,624,543
5,625,58
6,626,347
7,627,94
8,628,191
9,629,94
10,630,370
11,631,94
12,632,184
13,633,191
14,634,191
15,635,595
16,636,140
17,637,370
18,638,585
19,639,595
20,640,310
21,641,273
22,642,360
23,643,360
24,644,523
25,645,191
26,646,606
27,647,310
28,648,362
29,649,523
30,650,334
31,651,385
32,652,595
33,653,585
34,654,591
35,654,463
36,655,334
37,656,458
38,657,136
39,658,591
40,659,606
41,660,402
42,661,454
43,662,488
44,663,484
45,664,199
46,665,193
47,666,251
48,667,122
49,668,192
50,669,21
51,670,6
52,671,103
53,672,41
54,673,451
55,674,37
56,675,18
57,676,75
58,677,192
59,678,439
60,679,528
61,680,44
62,681,344
63,682,528
64,683,126
65,684,149
66,685,168
67,686,519
68,687,603
69,688,209
70,689,383
71,690,91
72,691,519
73,692,378
74,693,512
75,694,263
76,695,438
77,696,283
78,697,168
79,698,336
80,699,494
81,700,110
82,700,109
83,701,63
84,702,45
85,703,260
86,704,240
87,705,336
88,706,135
89,707,281
90,708,281
91,709,100
92,710,555
93,711,135
94,712,298
95,713,605
96,714,92
97,715,324
98,715,485
99,716,406
100,717,23
101,718,9
102,719,286
103,720,36
104,721,13
105,722,31
106,723,363
107,724,331
108,725,201
109,726,376
110,727,396
111,728,557
112,729,557
113,730,155
114,731,526
115,732,121
116,733,89
117,734,352
118,735,131
119,736,380
120,737,363
121,738,114
122,739,413
123,740,128
124,741,178
125,742,54
126,743,121
127,744,257
128,745,67
129,746,57
130,747,79
131,748,223
132,749,405
133,750,250
134,751,326
135,752,486
136,753,425
137,754,437
138,755,232
139,756,365
140,757,493
141,758,522
142,759,466
143,760,575
144,761,495
145,762,225
146,763,67
147,764,339
148,765,95
149,766,403
150,767,180
151,768,161
152,769,567
153,770,255
154,771,404
155,772,187
156,773,319
157,774,167
158,775,1
159,776,271
160,777,399
161,778,157
162,779,255
163,780,147
164,781,277
165,782,261
166,783,416
167,784,228
168,785,228
169,786,88
170,787,474
171,788,403
172,789,40
173,790,517
174,791,133
175,792,574
176,793,74
177,794,427
178,795,195
179,796,256
180,797,583
181,798,147
182,799,427
183,800,71
184,801,181
185,802,162
186,803,147
187,804,372
188,805,453
189,806,154
190,807,3
191,808,412
192,809,357
193,810,431
194,811,261
195,812,511
196,813,196
197,814,397
198,815,74
199,816,299
200,817,204
201,818,432
202,819,501
203,820,160
204,821,238
205,822,247
206,823,111
207,824,144
208,825,446
209,826,446
210,827,144
211,828,337
212,829,468
213,830,189
214,831,203
215,832,293
216,833,42
217,834,129
218,835,236
219,836,599
220,837,596
221,838,236
222,839,258
223,840,337
224,841,56
225,842,246
226,843,314
227,844,355
228,845,42
229,846,593
230,847,239
231,848,504
232,849,544
233,850,349
234,851,27
235,852,398
236,853,10
237,854,102
238,855,544
239,856,247
240,857,247
241,857,534
242,858,510
243,859,282
244,860,188
245,861,384
246,862,282
247,863,85
248,864,186
249,865,165
250,866,311
251,867,188
252,868,179
253,869,516
254,870,247
255,871,533
256,872,353
257,873,179
258,874,417
259,875,367
260,876,101
261,877,194
262,878,539
263,879,34
264,880,194
265,881,549
266,882,269
267,883,328
268,884,482
269,885,374
270,886,267
271,887,419
272,888,536
273,889,465
274,890,43
275,891,317
276,892,548
277,893,536
278,894,592
279,895,386
280,896,127
281,897,589
282,898,82
283,899,441
284,900,533
285,901,332
286,902,50
287,903,392
288,904,330
289,905,527
290,906,374
291,907,113
292,908,602
293,909,374
294,910,98
295,911,50
296,912,527
297,913,390
298,914,81
299,915,69
300,916,487
301,917,69
302,918,387
303,919,69
304,920,130
305,921,244
306,922,106
307,923,182
308,924,166
309,925,475
310,926,224
311,927,274
312,928,284
313,929,481
314,930,356
315,931,444
316,932,507
317,933,410
318,934,339
319,935,444
320,936,87
321,937,279
322,938,222
323,939,563
324,940,97
325,941,39
326,942,156
327,943,563
328,944,26
329,945,368
330,946,315
331,947,4
332,948,598
333,949,382
334,950,291
335,951,221
336,952,262
337,953,404
338,954,84
339,955,462
340,956,462
341,957,569
342,958,156
343,959,275
344,960,210
345,961,304
346,962,403
347,963,400
348,964,8
349,965,90
350,966,118
351,967,320
352,968,574
353,969,430
354,970,418
355,971,225
356,972,296
357,973,327
358,974,517
359,975,302
360,976,586
361,977,107
362,978,90
363,979,554
364,980,73
365,981,120
366,982,464
367,983,197
368,984,105
369,985,12
370,986,28
371,987,335
372,988,572
373,989,24
374,990,435
375,991,572
376,992,342
377,993,506
378,994,477
379,995,5
380,996,467
381,997,5
382,998,434
383,999,307
384,1000,322
385,1001,443
386,1002,306
387,1003,137
388,1004,427
389,1005,513
390,1006,65
391,1007,22
392,1008,373
393,1009,143
394,1010,17
395,1011,594
396,1012,423
397,1013,30
398,1014,457
399,1015,35
400,1016,259
401,1017,558
402,1018,369
403,1019,266
404,1020,270
405,1021,218
406,1022,455
407,1023,478
408,1024,183
409,1025,358
410,1026,562
411,1027,252
412,1028,590
413,1029,295
414,1030,393
415,1031,164
416,1032,476
417,1033,312
418,1034,590
419,1035,151
420,1036,421
421,1037,217
422,1038,237
423,1039,238
424,1040,333
425,1041,241
426,1042,411
427,1043,42
428,1044,219
429,1045,531
430,1046,452
431,1047,93
432,1048,533
433,1049,521
434,1050,520
435,1051,328
436,1052,268
437,1053,16
438,1054,272
439,1055,584
440,1056,163
441,1057,145
442,1058,198
443,1059,211
444,1060,473
445,1061,553
446,1062,420
447,1063,584
448,1064,515
449,1065,46
450,1066,32
451,1067,150
452,1068,292
453,1069,231
454,1070,117
455,1071,604
456,1072,602
457,1073,50
458,1074,578
459,1075,265
460,1076,537
461,1077,134
462,1078,388
463,1079,340
464,1080,518
465,1081,234
466,1082,409
467,1083,15
468,1084,566
469,1085,146
470,1086,285
471,1087,318
472,1088,152
473,1089,597
474,1090,148
475,1091,139
476,1092,448
477,1093,479
478,1094,354
479,1095,535
480,1096,359
481,1096,580
482,1097,308
483,1097,305
484,1098,323
485,1099,560
486,1100,492
