person_id,person_name
1,F. Murray Abraham
2,Ben Affleck
3,Casey Affleck
4,Jack Albertson
5,Mahershala Ali
6,Woody Allen
7,Pedro Almodóvar
8,Don Ameche
9,Paul Thomas Anderson
10,Julie Andrews
11,Edward Anhalt
12,Alan Arkin
13,George Arliss
14,Michael Arndt
15,Patricia Arquette
16,Peggy Ashcroft
17,Mary Astor
18,Richard Attenborough
19,Jacques Audiard
20,Roger Avary
21,John G. Avildsen
22,Fay Bainter
23,Sean Baker
24,Christian Bale
25,Alan Ball
26,Martin Balsam
27,Anne Bancroft
28,Javier Bardem
29,S.H. Barnett
30,Ethel Barrymore
31,Lionel Barrymore
32,Kim Basinger
33,Ronald Bass
34,Kathy Bates
35,Anne Baxter
36,Warner Baxter
37,Warren Beatty
38,Simon Beaufoy
39,Ed Begley
40,Roberto Benigni
41,Robert Benton
42,Ingrid Bergman
43,Halle Berry
44,Bernardo Bertolucci
45,Kathryn Bigelow
46,Juliette Binoche
47,Pierre Bismuth
48,Dustin Lance Black
49,Michael Blake
50,Cate Blanchett
51,William Peter Blatty
52,Armando Bo
53,Mark Boal
54,Humphrey Bogart
55,Robert Bolt
56,Shirley Booth
57,Ernest Borgnine
58,Frank Borzage
59,Pierre Boulle
60,Muriel Box
61,Sydney Box
62,Philippa Boyens
63,Danny Boyle
64,Charles Brackett
65,Alice Brady
66,Kenneth Branagh
67,Marlon Brando
68,Richard L. Breen
69,Walter Brennan
70,Marshall Brickman
71,Jeff Bridges
72,John Briley
73,Jim Broadbent
74,Adrien Brody
75,James L. Brooks
76,Mel Brooks
77,Richard Brooks
78,Harry Brown
79,Yul Brynner
80,Sidney Buchman
81,Jessie Buckley
82,Sandra Bullock
83,Edwin Burke
84,George Burns
85,Ellen Burstyn
86,Frank Butler
87,Red Buttons
88,Nicolas Cage
89,James Cagney
90,Michael Caine
91,James Cameron
92,Jane Campion
93,Dyan Cannon
94,Frank Capra
95,Art Carney
96,Frank Cavett
97,George Chakiris
98,Jessica Chastain
99,Paddy Chayefsky
100,Damien Chazelle
101,Cher
102,Julie Christie
103,Michael Cimino
104,T.E.B. Clarke
105,George Clooney
106,Charles Coburn
107,James Coburn
108,Diablo Cody
109,Ethan Coen
110,Joel Coen
111,Claudette Colbert
112,Pierre Collings
113,Olivia Colman
114,Ronald Colman
115,Ennio De Concini
116,Bill Condon
117,Jennifer Connelly
118,Sean Connery
119,Ryan Coogler
120,Chris Cooper
121,Gary Cooper
122,Francis Ford Coppola
123,Sofia Coppola
124,Brady Corbet
125,Costa-Gavras
126,Kevin Costner
127,Marion Cotillard
128,Broderick Crawford
129,Joan Crawford
130,Donald Crisp
131,Bing Crosby
132,Cameron Crowe
133,Russell Crowe
134,Penélope Cruz
135,Alfonso Cuarón
136,George Cukor
137,Kieran Culkin
138,Brian Currie
139,Jamie Lee Curtis
140,Michael Curtiz
141,Ian Dalrymple
142,Matt Damon
143,Jane Darwell
144,Bette Davis
145,Geena Davis
146,Viola Davis
147,Daniel Day-Lewis
148,Ariana DeBose
149,Jonathan Demme
150,Judi Dench
151,Sandy Dennis
152,Laura Dern
153,I.A.L. Diamond
154,Leonardo DiCaprio
155,Robert Donat
156,Melvyn Douglas
157,Michael Douglas
158,Nathan E. Douglas
159,Nancy Dowd
160,Marie Dressler
161,Richard Dreyfuss
162,Jean Dujardin
163,Olympia Dukakis
164,Patty Duke
165,Faye Dunaway
166,James Dunn
167,Robert Duvall
168,Clint Eastwood
169,Julius J. Epstein
170,Philip G. Epstein
171,Howard Estabrook
172,Peter Farrelly
173,John Farrow
174,Mona Fastvold
175,Nat Faxon
176,Julian Fellowes
177,Emerald Fennell
178,José Ferrer
179,Sally Field
180,Peter Finch
181,Colin Firth
182,Barry Fitzgerald
183,Jo Van Fleet
184,Victor Fleming
185,Geoffrey Fletcher
186,Louise Fletcher
187,Henry Fonda
188,Jane Fonda
189,Joan Fontaine
190,Horton Foote
191,John Ford
192,Milos Forman
193,Bob Fosse
